Index,sepal.length,sepal.width,petal.length,petal.width,class
169,6.48,3.67,1.72,0.8,Iris-mythica
170,6.5,3.33,1.75,0.72,Iris-mythica
171,6.4,3.17,1.7,0.63,Iris-mythica
172,6.72,3.99,2.72,0.75,Iris-mythica
173,6.47,3.07,1.78,0.73,Iris-mythica
174,6.81,3.69,3.09,0.52,Iris-mythica
175,6.25,3.5,3.47,0.62,Iris-mythica
176,6.24,3.03,1.99,0.84,Iris-mythica
177,6.3,3.33,2.24,0.65,Iris-mythica
178,6.82,3.1,1.73,0.6,Iris-mythica
179,6.26,3.89,2.76,0.52,Iris-mythica
180,6.76,3.38,3.05,0.74,Iris-mythica
181,6.41,3.65,2.43,0.95,Iris-mythica
182,6.52,3.72,3.4,0.89,Iris-mythica
183,6.63,3.42,1.84,0.57,Iris-mythica
184,6.36,3.54,1.72,0.83,Iris-mythica
185,6.39,3.63,2.9,0.8,Iris-mythica
186,6.37,3.39,2.83,0.77,Iris-mythica
187,6.13,3.3,2.62,0.62,Iris-mythica
188,6.81,3.95,2.09,0.97,Iris-mythica
189,6.42,3.3,2.97,0.55,Iris-mythica
190,6.86,3.39,3.28,0.79,Iris-mythica
191,6.98,3.43,1.53,0.96,Iris-mythica
192,6.37,3.53,2.4,0.77,Iris-mythica
193,6.07,3.96,2.4,0.67,Iris-mythica
194,6.82,3.49,1.79,0.88,Iris-mythica
195,6.37,3.11,2.22,0.76,Iris-mythica
196,6.64,3.11,2.85,0.67,Iris-mythica
197,6.39,3.06,2.65,0.91,Iris-mythica
198,6.53,3.59,2.57,0.68,Iris-mythica
199,6.08,3.55,3.48,0.73,Iris-mythica
200,6.06,3.55,2.44,0.71,Iris-mythica
